channel,source,detector,cond,beta,tstat,p,q
5,2,3,Control:Group_G1_3-Control:Group_G4_6-MA:Group_G1_3+MA:Group_G4_6,-22.9634666721593,-2.33027714258946,0.0203008860896466,0.156626826753715
6,2,4,Control:Group_G1_3-Control:Group_G4_6-MA:Group_G1_3+MA:Group_G4_6,-25.9400812368512,-2.29912580749756,0.0220256475122412,0.156626826753715
8,2,6,Control:Group_G1_3-Control:Group_G4_6-MA:Group_G1_3+MA:Group_G4_6,-23.0536795398377,-2.48113796864861,0.0135170432720424,0.123584395630102
12,3,8,Control:Group_G1_3-Control:Group_G4_6-MA:Group_G1_3+MA:Group_G4_6,-24.6326384928451,-2.13853693792433,0.0330939241790881,0.211801114746164
23,10,12,Control:Group_G1_3-Control:Group_G4_6-MA:Group_G1_3+MA:Group_G4_6,-42.0231340456325,-3.03377422927897,0.00257682019795289,0.0412291231672462
25,10,14,Control:Group_G1_3-Control:Group_G4_6-MA:Group_G1_3+MA:Group_G4_6,-30.7623954923021,-3.33167786633034,0.000945654724940594,0.0201739674653993
26,11,13,Control:Group_G1_3-Control:Group_G4_6-MA:Group_G1_3+MA:Group_G4_6,-32.190311836417,-3.44865083309005,0.000624839500442764,0.0199948640141685
28,11,15,Control:Group_G1_3-Control:Group_G4_6-MA:Group_G1_3+MA:Group_G4_6,-25.4714912544358,-2.64026197809166,0.00861680000569446,0.0919125333940743
