channel,source,detector,cond,beta,tstat,p,q
25,10,14,-Control:Group_G1_3+Control:Group_G4_6+MA:Group_G1_3-MA:Group_G4_6,30.7623954923021,3.33167786633034,0.000945654724940594,0.0201739674653993
26,11,13,-Control:Group_G1_3+Control:Group_G4_6+MA:Group_G1_3-MA:Group_G4_6,32.190311836417,3.44865083309005,0.000624839500442764,0.0199948640141685
